combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,zone_1_baseline_gw,zone_2_baseline_gw,zone_3_baseline_gw,zone_4_baseline_gw,zone_5_baseline_gw,zone_6_baseline_gw,zone_7_baseline_gw,zone_8_baseline_gw,zone_9_baseline_gw,zone_10_baseline_gw,zone_11_baseline_gw,zone_12_baseline_gw,zone_13_baseline_gw,zone_14_baseline_gw,zone_15_baseline_gw,zone_16_baseline_gw,zone_17_baseline_gw,zone_18_baseline_gw,zone_19_baseline_gw,zone_20_baseline_gw,zone_21_baseline_gw,zone_22_baseline_gw,zone_23_baseline_gw,zone_24_baseline_gw,zone_25_baseline_gw,zone_26_baseline_gw,zone_27_baseline_gw,zone_1_reduction_biodiversity_gw,zone_2_reduction_biodiversity_gw,zone_3_reduction_biodiversity_gw,zone_4_reduction_biodiversity_gw,zone_5_reduction_biodiversity_gw,zone_6_reduction_biodiversity_gw,zone_7_reduction_biodiversity_gw,zone_8_reduction_biodiversity_gw,zone_9_reduction_biodiversity_gw,zone_10_reduction_biodiversity_gw,zone_11_reduction_biodiversity_gw,zone_12_reduction_biodiversity_gw,zone_13_reduction_biodiversity_gw,zone_14_reduction_biodiversity_gw,zone_15_reduction_biodiversity_gw,zone_16_reduction_biodiversity_gw,zone_17_reduction_biodiversity_gw,zone_18_reduction_biodiversity_gw,zone_19_reduction_biodiversity_gw,zone_20_reduction_biodiversity_gw,zone_21_reduction_biodiversity_gw,zone_22_reduction_biodiversity_gw,zone_23_reduction_biodiversity_gw,zone_24_reduction_biodiversity_gw,zone_25_reduction_biodiversity_gw,zone_26_reduction_biodiversity_gw,zone_27_reduction_biodiversity_gw,zone_1_reduction_world_heritage_gw,zone_2_reduction_world_heritage_gw,zone_3_reduction_world_heritage_gw,zone_4_reduction_world_heritage_gw,zone_5_reduction_world_heritage_gw,zone_6_reduction_world_heritage_gw,zone_7_reduction_world_heritage_gw,zone_8_reduction_world_heritage_gw,zone_9_reduction_world_heritage_gw,zone_10_reduction_world_heritage_gw,zone_11_reduction_world_heritage_gw,zone_12_reduction_world_heritage_gw,zone_13_reduction_world_heritage_gw,zone_14_reduction_world_heritage_gw,zone_15_reduction_world_heritage_gw,zone_16_reduction_world_heritage_gw,zone_17_reduction_world_heritage_gw,zone_18_reduction_world_heritage_gw,zone_19_reduction_world_heritage_gw,zone_20_reduction_world_heritage_gw,zone_21_reduction_world_heritage_gw,zone_22_reduction_world_heritage_gw,zone_23_reduction_world_heritage_gw,zone_24_reduction_world_heritage_gw,zone_25_reduction_world_heritage_gw,zone_26_reduction_world_heritage_gw,zone_27_reduction_world_heritage_gw,zone_1_reduction_landscape_gw,zone_2_reduction_landscape_gw,zone_3_reduction_landscape_gw,zone_4_reduction_landscape_gw,zone_5_reduction_landscape_gw,zone_6_reduction_landscape_gw,zone_7_reduction_landscape_gw,zone_8_reduction_landscape_gw,zone_9_reduction_landscape_gw,zone_10_reduction_landscape_gw,zone_11_reduction_landscape_gw,zone_12_reduction_landscape_gw,zone_13_reduction_landscape_gw,zone_14_reduction_landscape_gw,zone_15_reduction_landscape_gw,zone_16_reduction_landscape_gw,zone_17_reduction_landscape_gw,zone_18_reduction_landscape_gw,zone_19_reduction_landscape_gw,zone_20_reduction_landscape_gw,zone_21_reduction_landscape_gw,zone_22_reduction_landscape_gw,zone_23_reduction_landscape_gw,zone_24_reduction_landscape_gw,zone_25_reduction_landscape_gw,zone_26_reduction_landscape_gw,zone_27_reduction_landscape_gw,zone_1_reduction_listed_gw,zone_2_reduction_listed_gw,zone_3_reduction_listed_gw,zone_4_reduction_listed_gw,zone_5_reduction_listed_gw,zone_6_reduction_listed_gw,zone_7_reduction_listed_gw,zone_8_reduction_listed_gw,zone_9_reduction_listed_gw,zone_10_reduction_listed_gw,zone_11_reduction_listed_gw,zone_12_reduction_listed_gw,zone_13_reduction_listed_gw,zone_14_reduction_listed_gw,zone_15_reduction_listed_gw,zone_16_reduction_listed_gw,zone_17_reduction_listed_gw,zone_18_reduction_listed_gw,zone_19_reduction_listed_gw,zone_20_reduction_listed_gw,zone_21_reduction_listed_gw,zone_22_reduction_listed_gw,zone_23_reduction_listed_gw,zone_24_reduction_listed_gw,zone_25_reduction_listed_gw,zone_26_reduction_listed_gw,zone_27_reduction_listed_gw,zone_1_reduction_building_gw,zone_2_reduction_building_gw,zone_3_reduction_building_gw,zone_4_reduction_building_gw,zone_5_reduction_building_gw,zone_6_reduction_building_gw,zone_7_reduction_building_gw,zone_8_reduction_building_gw,zone_9_reduction_building_gw,zone_10_reduction_building_gw,zone_11_reduction_building_gw,zone_12_reduction_building_gw,zone_13_reduction_building_gw,zone_14_reduction_building_gw,zone_15_reduction_building_gw,zone_16_reduction_building_gw,zone_17_reduction_building_gw,zone_18_reduction_building_gw,zone_19_reduction_building_gw,zone_20_reduction_building_gw,zone_21_reduction_building_gw,zone_22_reduction_building_gw,zone_23_reduction_building_gw,zone_24_reduction_building_gw,zone_25_reduction_building_gw,zone_26_reduction_building_gw,zone_27_reduction_building_gw,zone_1_reduction_parcel_filter_gw,zone_1_final_gw,zone_2_reduction_parcel_filter_gw,zone_2_final_gw,zone_3_reduction_parcel_filter_gw,zone_3_final_gw,zone_4_reduction_parcel_filter_gw,zone_4_final_gw,zone_5_reduction_parcel_filter_gw,zone_5_final_gw,zone_6_reduction_parcel_filter_gw,zone_6_final_gw,zone_7_reduction_parcel_filter_gw,zone_7_final_gw,zone_8_reduction_parcel_filter_gw,zone_8_final_gw,zone_9_reduction_parcel_filter_gw,zone_9_final_gw,zone_10_reduction_parcel_filter_gw,zone_10_final_gw,zone_11_reduction_parcel_filter_gw,zone_11_final_gw,zone_12_reduction_parcel_filter_gw,zone_12_final_gw,zone_13_reduction_parcel_filter_gw,zone_13_final_gw,zone_14_reduction_parcel_filter_gw,zone_14_final_gw,zone_15_reduction_parcel_filter_gw,zone_15_final_gw,zone_16_reduction_parcel_filter_gw,zone_16_final_gw,zone_17_reduction_parcel_filter_gw,zone_17_final_gw,zone_18_reduction_parcel_filter_gw,zone_18_final_gw,zone_19_reduction_parcel_filter_gw,zone_19_final_gw,zone_20_reduction_parcel_filter_gw,zone_20_final_gw,zone_21_reduction_parcel_filter_gw,zone_21_final_gw,zone_22_reduction_parcel_filter_gw,zone_22_final_gw,zone_23_reduction_parcel_filter_gw,zone_23_final_gw,zone_24_reduction_parcel_filter_gw,zone_24_final_gw,zone_25_reduction_parcel_filter_gw,zone_25_final_gw,zone_26_reduction_parcel_filter_gw,zone_26_final_gw,zone_27_reduction_parcel_filter_gw,zone_27_final_gw
59,bio0_whs0_land4_list1500_bld1250,False,False,4,1500,1250,203.2,5.5,55.4,16.9,81.5,20.8,18.1,14.2,9.9,45.4,47.0,42.2,44.7,32.5,82.7,62.3,19.8,179.8,4.1,5.9,18.3,23.8,0.0,22.7,22.4,40.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1,0.0,11.7,2.5,38.6,6.6,4.6,7.3,0.0,2.2,1.0,12.1,31.3,25.4,40.6,27.4,0.4,30.0,1.5,2.6,8.4,10.8,0.0,7.9,13.2,19.3,12.3,3.8,0.4,0.6,0.2,3.3,0.5,0.3,0.4,2.2,3.9,5.3,5.5,4.7,2.8,16.0,15.6,6.1,83.7,1.3,0.9,4.5,7.7,0.0,8.5,6.6,13.5,6.3,140.3,5.1,39.7,13.1,35.4,12.4,12.3,6.0,7.5,36.6,37.5,22.6,8.7,4.2,26.0,19.2,13.2,65.1,1.3,2.4,5.4,4.7,0.0,6.3,2.6,7.4,4.1,0.1,16.8,0.0,0.0,0.1,3.4,0.0,1.1,0.0,4.1,0.0,1.3,0.0,0.9,0.0,0.6,0.0,0.2,0.0,2.8,0.0,3.2,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,bio0_whs1_land1_list500_bld250,False,True,1,500,250,203.2,5.5,55.4,16.9,81.5,20.8,18.1,14.2,9.9,45.4,47.0,42.2,44.7,32.5,82.7,62.3,19.8,179.8,4.1,5.9,18.3,23.8,0.0,22.7,22.4,40.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.3,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.6,0.5,1.7,2.0,0.5,9.3,0.2,0.2,0.6,1.4,0.0,1.8,1.7,2.4,1.2,49.7,2.9,14.8,3.5,16.9,5.4,4.8,4.0,4.5,11.2,11.6,11.5,17.4,8.5,45.1,31.9,8.6,109.6,2.5,3.6,8.7,12.5,0.0,14.4,13.5,21.5,11.2,1.7,116.4,0.1,2.4,0.8,39.7,0.2,13.3,0.7,63.6,0.2,15.2,0.3,13.0,0.3,9.9,0.3,4.9,0.6,33.4,0.7,34.4,0.5,26.6,0.5,24.9,0.3,11.7,1.1,34.9,1.0,27.4,0.3,10.5,3.4,57.3,0.1,1.2,0.2,1.9,0.4,8.4,0.4,9.2,0.0,0.0,0.4,6.0,0.5,6.7,0.9,15.1,0.6,9.5
61,bio0_whs1_land1_list500_bld500,False,True,1,500,500,203.2,5.5,55.4,16.9,81.5,20.8,18.1,14.2,9.9,45.4,47.0,42.2,44.7,32.5,82.7,62.3,19.8,179.8,4.1,5.9,18.3,23.8,0.0,22.7,22.4,40.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.3,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.6,0.5,1.7,2.0,0.5,9.3,0.2,0.2,0.6,1.4,0.0,1.8,1.7,2.4,1.2,89.3,5.0,26.8,7.3,33.8,9.7,9.0,6.6,7.8,24.1,25.2,22.8,30.6,14.6,68.4,49.4,15.9,151.6,3.3,5.3,13.3,18.4,0.0,19.5,19.0,32.6,16.4,0.9,77.5,0.0,0.5,0.7,28.0,0.1,9.5,0.4,47.1,0.1,10.9,0.2,8.8,0.2,7.4,0.1,1.8,0.3,20.7,0.4,21.0,0.2,15.6,0.2,12.1,0.1,5.9,0.3,12.3,0.3,10.6,0.1,3.3,0.7,18.1,0.0,0.5,0.0,0.4,0.1,4.1,0.1,3.7,0.0,0.0,0.1,1.3,0.1,1.6,0.2,4.7,0.1,4.8
62,bio0_whs1_land1_list500_bld750,False,True,1,500,750,203.2,5.5,55.4,16.9,81.5,20.8,18.1,14.2,9.9,45.4,47.0,42.2,44.7,32.5,82.7,62.3,19.8,179.8,4.1,5.9,18.3,23.8,0.0,22.7,22.4,40.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.3,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.6,0.5,1.7,2.0,0.5,9.3,0.2,0.2,0.6,1.4,0.0,1.8,1.7,2.4,1.2,124.7,5.4,39.8,11.7,51.0,14.4,13.3,9.4,8.9,34.4,35.5,30.3,38.2,18.1,77.7,57.0,18.5,163.9,3.6,5.7,15.6,20.6,0.0,20.6,20.5,36.5,18.5,0.5,42.6,0.0,0.1,0.4,15.2,0.1,5.2,0.2,30.0,0.1,6.4,0.1,4.6,0.1,4.7,0.0,0.7,0.1,10.7,0.2,11.0,0.1,8.3,0.0,4.7,0.0,2.3,0.0,3.2,0.1,3.3,0.0,0.7,0.1,6.4,0.0,0.3,0.0,0.1,0.0,1.8,0.0,1.5,0.0,0.0,0.0,0.2,0.0,0.2,0.0,1.0,0.0,2.8
63,bio0_whs1_land1_list500_bld1000,False,True,1,500,1000,203.2,5.5,55.4,16.9,81.5,20.8,18.1,14.2,9.9,45.4,47.0,42.2,44.7,32.5,82.7,62.3,19.8,179.8,4.1,5.9,18.3,23.8,0.0,22.7,22.4,40.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.3,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.6,0.5,1.7,2.0,0.5,9.3,0.2,0.2,0.6,1.4,0.0,1.8,1.7,2.4,1.2,141.4,5.5,46.3,13.8,60.9,16.9,15.4,11.0,9.3,38.8,39.8,33.5,40.6,19.4,79.9,58.9,18.9,167.2,3.7,5.7,16.5,21.2,0.0,20.7,20.6,37.1,19.5,0.3,26.1,0.0,0.0,0.2,8.8,0.0,3.0,0.2,20.2,0.1,3.9,0.1,2.6,0.1,3.1,0.0,0.4,0.1,6.3,0.1,6.8,0.1,5.1,0.0,2.2,0.0,1.1,0.0,1.1,0.0,1.4,0.0,0.4,0.1,3.2,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,1.8
64,bio0_whs1_land1_list500_bld1250,False,True,1,500,1250,203.2,5.5,55.4,16.9,81.5,20.8,18.1,14.2,9.9,45.4,47.0,42.2,44.7,32.5,82.7,62.3,19.8,179.8,4.1,5.9,18.3,23.8,0.0,22.7,22.4,40.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.3,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.6,0.5,1.7,2.0,0.5,9.3,0.2,0.2,0.6,1.4,0.0,1.8,1.7,2.4,1.2,155.3,5.5,51.4,15.7,70.3,19.0,16.9,12.8,9.5,42.3,43.3,36.2,42.1,20.2,80.8,60.0,19.2,169.2,3.7,5.8,17.1,21.6,0.0,20.8,20.7,37.4,20.5,0.1,12.3,0.0,0.0,0.1,3.9,0.0,1.2,0.1,10.9,0.0,1.8,0.0,1.1,0.0,1.4,0.0,0.2,0.0,2.9,0.0,3.3,0.0,2.4,0.0,0.7,0.0,0.3,0.0,0.2,0.0,0.4,0.0,0.1,0.0,1.1,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9
65,bio0_whs1_land1_list1000_bld250,False,True,1,1000,250,203.2,5.5,55.4,16.9,81.5,20.8,18.1,14.2,9.9,45.4,47.0,42.2,44.7,32.5,82.7,62.3,19.8,179.8,4.1,5.9,18.3,23.8,0.0,22.7,22.4,40.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.3,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.2,0.3,0.1,1.5,0.2,0.1,0.2,1.0,1.6,2.3,2.7,3.2,2.6,10.6,11.5,3.0,52.1,0.8,0.8,3.1,7.7,0.0,8.2,8.3,12.8,5.4,48.9,2.8,14.7,3.4,16.3,5.3,4.8,3.9,4.1,10.6,10.7,10.4,15.9,7.2,38.9,25.4,6.9,77.4,2.0,3.2,6.9,8.2,0.0,9.6,8.7,14.4,8.3,1.6,115.8,0.1,2.4,0.8,39.5,0.2,13.3,0.7,63.0,0.2,15.1,0.2,12.9,0.3,9.8,0.2,4.6,0.6,32.6,0.6,33.4,0.5,25.6,0.5,23.8,0.3,10.9,0.9,32.3,0.8,24.5,0.2,9.6,2.7,47.6,0.1,1.1,0.2,1.8,0.3,7.7,0.3,7.3,0.0,0.0,0.3,4.6,0.3,4.9,0.7,12.0,0.5,8.4
66,bio0_whs1_land1_list1000_bld500,False,True,1,1000,500,203.2,5.5,55.4,16.9,81.5,20.8,18.1,14.2,9.9,45.4,47.0,42.2,44.7,32.5,82.7,62.3,19.8,179.8,4.1,5.9,18.3,23.8,0.0,22.7,22.4,40.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.3,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.2,0.3,0.1,1.5,0.2,0.1,0.2,1.0,1.6,2.3,2.7,3.2,2.6,10.6,11.5,3.0,52.1,0.8,0.8,3.1,7.7,0.0,8.2,8.3,12.8,5.4,88.0,4.8,26.6,7.3,32.7,9.6,9.0,6.5,7.1,23.0,23.6,20.8,28.0,12.6,59.8,40.4,13.5,109.9,2.7,4.7,10.9,12.4,0.0,13.3,12.5,22.8,12.3,0.9,77.4,0.0,0.5,0.7,27.9,0.1,9.5,0.4,47.0,0.1,10.9,0.2,8.8,0.2,7.4,0.1,1.8,0.3,20.5,0.4,20.8,0.2,15.4,0.2,12.0,0.1,5.7,0.3,12.0,0.3,10.1,0.1,3.2,0.6,17.2,0.0,0.5,0.0,0.4,0.1,4.0,0.1,3.3,0.0,0.0,0.1,1.1,0.1,1.4,0.2,4.2,0.1,4.7
67,bio0_whs1_land1_list1000_bld750,False,True,1,1000,750,203.2,5.5,55.4,16.9,81.5,20.8,18.1,14.2,9.9,45.4,47.0,42.2,44.7,32.5,82.7,62.3,19.8,179.8,4.1,5.9,18.3,23.8,0.0,22.7,22.4,40.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.3,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.2,0.3,0.1,1.5,0.2,0.1,0.2,1.0,1.6,2.3,2.7,3.2,2.6,10.6,11.5,3.0,52.1,0.8,0.8,3.1,7.7,0.0,8.2,8.3,12.8,5.4,123.2,5.2,39.6,11.6,49.8,14.2,13.2,9.2,8.2,33.0,33.6,28.1,35.5,16.1,68.8,47.5,16.0,121.2,2.9,5.1,13.2,14.3,0.0,14.2,13.9,26.2,14.3,0.5,42.6,0.0,0.1,0.4,15.2,0.1,5.2,0.2,30.0,0.1,6.4,0.1,4.6,0.1,4.7,0.0,0.7,0.1,10.7,0.2,11.0,0.1,8.2,0.0,4.7,0.0,2.3,0.0,3.2,0.1,3.3,0.0,0.7,0.1,6.3,0.0,0.3,0.0,0.1,0.0,1.8,0.0,1.5,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.9,0.0,2.8
68,bio0_whs1_land1_list1000_bld1000,False,True,1,1000,1000,203.2,5.5,55.4,16.9,81.5,20.8,18.1,14.2,9.9,45.4,47.0,42.2,44.7,32.5,82.7,62.3,19.8,179.8,4.1,5.9,18.3,23.8,0.0,22.7,22.4,40.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.3,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.2,0.3,0.1,1.5,0.2,0.1,0.2,1.0,1.6,2.3,2.7,3.2,2.6,10.6,11.5,3.0,52.1,0.8,0.8,3.1,7.7,0.0,8.2,8.3,12.8,5.4,140.0,5.3,46.1,13.8,59.7,16.7,15.3,10.9,8.5,37.4,37.9,31.3,37.9,17.3,70.9,49.4,16.4,124.4,3.0,5.1,14.0,14.9,0.0,14.4,14.0,26.8,15.3,0.3,26.1,0.0,0.0,0.2,8.8,0.0,3.0,0.2,20.2,0.1,3.9,0.1,2.6,0.1,3.1,0.0,0.4,0.1,6.3,0.1,6.8,0.1,5.1,0.0,2.2,0.0,1.1,0.0,1.1,0.0,1.4,0.0,0.4,0.0,3.2,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,1.8
69,bio0_whs1_land1_list1000_bld1250,False,True,1,1000,1250,203.2,5.5,55.4,16.9,81.5,20.8,18.1,14.2,9.9,45.4,47.0,42.2,44.7,32.5,82.7,62.3,19.8,179.8,4.1,5.9,18.3,23.8,0.0,22.7,22.4,40.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.3,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.2,0.3,0.1,1.5,0.2,0.1,0.2,1.0,1.6,2.3,2.7,3.2,2.6,10.6,11.5,3.0,52.1,0.8,0.8,3.1,7.7,0.0,8.2,8.3,12.8,5.4,153.8,5.3,51.1,15.6,69.1,18.9,16.8,12.6,8.7,40.9,41.4,34.0,39.4,18.1,71.9,50.4,16.7,126.5,3.1,5.1,14.6,15.3,0.0,14.4,14.0,27.1,16.2,0.1,12.3,0.0,0.0,0.1,3.9,0.0,1.2,0.1,10.9,0.0,1.8,0.0,1.1,0.0,1.4,0.0,0.2,0.0,2.9,0.0,3.3,0.0,2.4,0.0,0.7,0.0,0.3,0.0,0.2,0.0,0.4,0.0,0.1,0.0,1.1,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9
